Ranking,Title,Copies sold (in millions),As of,Release date,Genre(s),Developer(s),Publisher(s)
57,Pokkén Tournament DX,1.54 ,"January 2, 2022","September 22, 2017",Fighting,Bandai Namco Studios,JP: The Pokémon Company NA/PAL: Nintendo
58,Marvel Ultimate Alliance 3: The Black Order,1.50 ,"December 31, 2021","July 19, 2019",Action role-playing,Team Ninja,Nintendo
59,Nintendo Labo Toy-Con 01: Variety Kit,1.42 ,"December 31, 2020","April 20, 2018",Construction kit,Nintendo EPD,Nintendo
60,Resident Evil: Revelations Collection,1.30 ,"December 31, 2022","November 27, 2017",Survival horror,Capcom,Capcom
61,Astral Chain,1.28 ,"December 31, 2021","August 30, 2019",Action-adventurehack and slash,PlatinumGames,Nintendo
62,WarioWare: Get It Together!,1.27 ,"March 31, 2022","September 10, 2021",Party,Nintendo EPDIntelligent Systems,Nintendo
63,Naruto Shippudden: Ultimate Ninja Storm Trilogy,1.26 ,"December 31, 2021","July 27, 2017",Fighting,CyberConnect2,Bandai Namco Entertainment
64,Dr Kawashima's Brain Training for Nintendo Switch,1.20 ,"December 31, 2021","December 27, 2019",Puzzle,"Nintendo EPD, indieszero",Nintendo
65,Game Builder Garage,1.06 ,"March 31, 2022","June 11, 2021",Programming,Nintendo EPD,Nintendo
66,Bayonetta 2,1.04 ,"December 31, 2021","February 16, 2018",Action-adventurehack and slash,PlatinumGames,Nintendo
66,Bayonetta 3,1.04 ,"December 31, 2022","October 28, 2022",Action-adventurehack and slash,PlatinumGames,Nintendo
68,Enter the Gungeon,1 ,"March 3, 2019","December 14, 2017",Bullet hell,Dodge Roll,Devolver Digital
68,Fire Emblem Warriors: Three Hopes,1 ,"August 17, 2022","June 24, 2022",Hack and slash Role-playing,Omega Force,JP: Koei TecmoNA/PAL: Nintendo
68,Fitness Boxing,1 ,"September 8, 2020","December 20, 2018",Exergamerhythm,Imagineer,JP: ImagineerNA/PAL: Nintendo
68,Fitness Boxing 2: Rhythm and Exercise,1 ,"December 9, 2021","December 4, 2020",Exergamerhythm,Imagineer,JP: ImagineerNA/PAL: Nintendo
68,Shin Megami Tensei V,1 ,"April 18, 2022","November 11, 2021",Role-playing,Atlus,JP: AtlusNA: SegaPAL: Nintendo
68,Story of Seasons: Pioneers of Olive Town,1 ,"November 18, 2021","February 25, 2021",Simulationrole-playing,Marvelous,Xseed Games
68,Thief Simulator,1 ,"July 16, 2021","May 19, 2019",Stealth,Noble Muffins,Forever Entertainment
