,No.,Title,Copies sold,As of,Release date[a],Genre(s),Developer(s),Publisher(s)
0,1,Mario Kart 8 Deluxe,52.00 million[4],"December 31, 2022","April 28, 2017",Kart racing,Nintendo EPD,Nintendo
1,2,Animal Crossing: New Horizons,41.59 million[4],"December 31, 2022","March 20, 2020",Social simulation,Nintendo EPD,Nintendo
2,3,Super Smash Bros. Ultimate,30.44 million[4],"December 31, 2022","December 7, 2018",Fighting,Bandai Namco StudiosSora Ltd.,Nintendo
3,4,The Legend of Zelda: Breath of the Wild,29.00 million[4],"December 31, 2022","March 3, 2017",Action-adventure,Nintendo EPD,Nintendo
4,5,Pokémon Sword and Shield,25.68 million[4],"December 31, 2022","November 15, 2019",Role-playing,Game Freak,The Pokémon CompanyNintendo
5,6,Super Mario Odyssey,25.12 million[4],"December 31, 2022","October 27, 2017",Platformer,Nintendo EPD,Nintendo
6,7,Pokémon Scarlet and Violet,20.61 million[4],"December 31, 2022","November 18, 2022",Role-playing,Game Freak,The Pokémon CompanyNintendo
7,8,Super Mario Party,18.79 million[4],"December 31, 2022","October 5, 2018",Party,NDcube,Nintendo
8,9,Ring Fit Adventure,15.22 million[4],"December 31, 2022","October 18, 2019",Exergamerole-playing,Nintendo EPD,Nintendo
9,10,"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!",15.07 million[4],"December 31, 2022","November 16, 2018",Role-playing,Game Freak,The Pokémon CompanyNintendo
10,11,Pokémon Brilliant Diamond and Shining Pearl,14.92 million[5],"September 30, 2022","November 19, 2021",Role-playing,ILCA,The Pokémon CompanyNintendo
11,12,New Super Mario Bros. U Deluxe,14.75 million[6],"December 31, 2022","January 11, 2019",Platformer,Nintendo EPD,Nintendo
12,13,Pokémon Legends: Arceus,14.63 million[6],"December 31, 2022","January 28, 2022",Action role-playing,Game Freak,The Pokémon CompanyNintendo
13,14,Splatoon 2,13.30 million[7],"March 31, 2022","July 21, 2017",Third-person shooter,Nintendo EPD,Nintendo
14,15,Luigi's Mansion 3,12.44 million[6],"December 31, 2022","October 31, 2019",Action-adventure,Next Level Games,Nintendo
15,16,Super Mario 3D World + Bowser's Fury,10.82 million[6],"December 31, 2022","February 12, 2021",Platformer,Nintendo EPD,Nintendo
16,17,Splatoon 3,10.13 million[6],"December 31, 2022","September 9, 2022",Third-person shooter,Nintendo EPD,Nintendo
17,18,Mario Party Superstars,9.38 million[6],"December 31, 2022","October 29, 2021",Party,NDcube,Nintendo
18,19,Super Mario 3D All-Stars,9.07 million[8],"December 31, 2021","September 18, 2020",Platformercompilation,Nintendo,Nintendo
19,20,Nintendo Switch Sports,8.61 million[6],"December 31, 2022","April 29, 2022",Sports,Nintendo EPD,Nintendo
20,21,Super Mario Maker 2,7.89 million[8],"December 31, 2021","June 28, 2019",PlatformerLevel editor,Nintendo EPD,Nintendo
21,22,Monster Hunter Rise,7.70 million[9],"December 31, 2021","March 26, 2021",Action role-playing,Capcom,Capcom
22,23,Kirby and the Forgotten Land,6.12 million[6],"December 31, 2022","March 25, 2022",Platformer,HAL Laboratory,Nintendo
23,24,The Legend of Zelda: Link's Awakening,6.08 million[8],"December 31, 2021","September 20, 2019",Action-adventure,Grezzo,Nintendo
24,25,Mario Tennis Aces,4.28 million[8],"December 31, 2021","June 22, 2018",Sports,Camelot Software Planning,Nintendo
25,26,Clubhouse Games: 51 Worldwide Classics,4.22 million[7],"March 31, 2022","June 5, 2020",Tabletop game,NDcube,Nintendo
26,27,Donkey Kong Country: Tropical Freeze,4.12 million[8],"December 31, 2021","May 4, 2018",Platformer,Retro Studios,Nintendo
27,28,Hyrule Warriors: Age of Calamity,4.00 million[10],"January 4, 2022","November 20, 2020",Hack and slash,Omega Force,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0}JP: Koei TecmoNA/PAL: Nintendo"
28,29,Kirby Star Allies,3.98 million[8],"December 31, 2021","March 16, 2018",Platformer,HAL Laboratory,Nintendo
29,30,The Legend of Zelda: Skyward Sword HD,3.91 million[7],"March 31, 2022","July 16, 2021",Action-adventure,Tantalus Media,Nintendo
30,31,Fire Emblem: Three Houses,3.82 million[8],"December 31, 2021","July 26, 2019",Tactical role-playing,Intelligent SystemsKoei Tecmo,Nintendo
31,32,1-2-Switch,3.63 million[8],"December 31, 2021","March 3, 2017",Party,Nintendo EPD,Nintendo
32,33,"Momotaro Dentetsu: Showa, Heisei, Reiwa Mo Teiban!",3.50 million[11],"March 22, 2022","November 19, 2020",Board game,Konami,JP: Konami
33,33,Minecraft,3.5 million[b],"October 22, 2022","May 11, 2017",Sandboxsurvival,Mojang,JP: Xbox Game StudiosNA/PAL: Mojang
34,35,Paper Mario: The Origami King,3.34 million[8],"December 31, 2021","July 17, 2020",Role-playingaction-adventure,Intelligent Systems,Nintendo
35,36,Among Us,3.20 million[14],"December 31, 2020","December 15, 2020",Partysocial deduction,Innersloth,Innersloth
36,37,Yoshi's Crafted World,3.01 million[8],"December 31, 2021","March 29, 2019",Platformer,Good-Feel,Nintendo
37,38,Metroid Dread,2.90 million[7],"March 31, 2022","October 8, 2021",Action-adventure,MercurySteamNintendo EPD,Nintendo
38,39,New Pokémon Snap,2.74 million[c],"May 15, 2022","April 30, 2021",Photography,Bandai Namco Studios,JP: The Pokémon CompanyNA/PAL: Nintendo
39,40,Arms,2.66 million[8],"December 31, 2021","June 16, 2017",Fighting,Nintendo EPD,Nintendo
40,41,Mario Strikers: Battle League,2.47 million[6],"December 31, 2022","June 10, 2022",Sports,Next Level Games,Nintendo
41,42,Xenoblade Chronicles 2,2.44 million[8],"December 31, 2021","December 1, 2017",Action role-playing,Monolith Soft,Nintendo
42,43,Mario Golf: Super Rush,2.35 million[7],"March 31, 2022","June 25, 2021",Sports,Camelot Software Planning,Nintendo
43,44,Pikmin 3 Deluxe,2.23 million[8],"December 31, 2021","October 30, 2020",Real-time strategypuzzle,Nintendo EPDEighting,Nintendo
44,45,Octopath Traveler,2.16 million[d],"January 2, 2022","July 13, 2018",Role-playing,Square EnixAcquire,JP: Square EnixNA/PAL: Nintendo
45,46,Captain Toad: Treasure Tracker,2.13 million[8],"December 31, 2021","July 13, 2018",Action puzzle,Nintendo EPD,Nintendo
46,47,Dragon Ball FighterZ,2.01 million[8],"December 31, 2021","September 27, 2018",Fighting,Arc System Works,Bandai Namco Entertainment
47,48,Mario + Rabbids Kingdom Battle,2 million[17],"September 2, 2018","August 29, 2017",Tactical role-playing,Ubisoft ParisUbisoft Milan,NA/PAL: UbisoftJP/KOR: Nintendo[18]
48,49,Pokémon Mystery Dungeon: Rescue Team DX,1.89 million[8],"December 31, 2021","March 6, 2020",Roguelike,Spike Chunsoft,Nintendo
49,49,Taiko no Tatsujin: Drum 'n' Fun!,1.89 million[8],"December 31, 2021","July 19, 2018",Rhythm,Bandai Namco Studios,Bandai Namco Entertainment
50,51,Xenoblade Chronicles 3,1.81 million[6],"December 31, 2022","July 29, 2022",Action role-playing,Monolith Soft,Nintendo
